state,primary-boys,primary-girls,primary-total
Andhra Pradesh,84.28,79.40,81.87
Arunachal Pradesh,107.05,93.34,100.35
Assam,108.35,90.44,99.54
Bihar,75.92,45.62,61.35
Goa,73.24,63.03,67.99
Gujarat,112.84,92.98,103.26
Haryana,73.58,72.61,73.13
Himachal Pradesh,98.30,84.97,91.40
Jammu & Kashmir,93.04,73.23,83.01
Karnataka,101.76,94.97,98.41
Kerala,92.32,89.68,91.03
Madhya Pradesh,101.71,81.36,91.80
Maharashtra,104.23,97.71,101.05
Manipur,95.72,83.74,89.60
Meghalaya,97.29,93.75,95.47
Mizoram,101.35,91.27,96.28
Nagaland,94.94,89.15,92.07
Odisha,105.52,75.10,90.54
Punjab,73.45,74.10,73.75
Rajasthan,125.28,70.25,99.06
Sikkim,112.97,113.57,113.26
Tamil Nadu,95.47,94.53,95.01
Tripura,99.16,84.57,91.74
Uttar Pradesh,67.57,40.90,54.91
West Bengal,91.06,80.75,86.00
Andaman and Nicobar Islands,88.46,89.59,88.99
Chandigarh,66.28,68.32,67.23
D & N Haveli,124.52,87.12,105.29
Daman & Diu,102.97,83.85,93.03
Delhi,57.46,59.50,58.44
Lakshadweep,114.42,98.38,106.40
Puducherry,89.76,78.64,84.06
