state,primary-boys,primary-girls,primary-total,lower-secondary-boys,lower-secondary-girls,lower-secondary-total,upper-secondary-boys,upper-secondary-girls,upper-secondary-total,college-boys,college-girls,college-total
Andhra Pradesh,101.1,99.1,100.1,86.3,84.5,85.4,55.2,58.3,56.7,38.3,36.0,37.2
Arunachal Pradesh,108.3,111.5,109.9,65.0,68.1,66.5,51.4,56.1,53.7,34.7,32.8,33.7
Assam,106.2,113.8,109.8,67.9,81.3,74.5,38.0,42.2,40.1,16.8,18.4,17.5
Bihar,95.1,97.4,96.2,63.1,66.8,64.9,35.6,36.2,35.9,16.6,15.1,15.9
Chhattisgarh,95.7,96.0,95.9,75.3,81.4,78.3,62.9,73.6,68.1,18.0,21.3,19.6
Gujarat,90.7,94.3,92.4,77.2,72.8,75.2,48.6,47.8,48.2,23.6,20.6,22.2
Haryana,103.0,103.4,103.2,96.0,93.2,94.7,75.1,76.0,75.5,28.9,33.7,31.1
Himachal Pradesh,105.3,107.1,106.0,93.5,94.8,94.1,93.0,95.3,94.1,33.5,44.7,38.7
Jammu & Kashmir,88.5,92.0,90.1,59.9,61.3,60.5,53.4,52.9,53.2,23.0,27.2,25.0
Jharkhand,96.4,97.7,97.0,66.4,70.5,68.4,44.9,48.0,46.4,16.5,17.5,17.0
Karnataka,107.2,107.0,107.1,94.6,94.9,94.7,54.6,58.8,56.6,34.8,37.2,36.0
Kerala,101.3,100.7,101.0,98.3,97.4,97.9,81.8,88.4,85.0,34.5,52.3,43.2
Ladakh,70.3,78.8,74.3,54.6,63.2,58.8,44.4,54.8,49.4,5.4,11.9,8.4
Madhya Pradesh,88.9,88.4,88.7,71.4,68.4,70.0,51.9,50.7,51.3,27.3,26.8,27.1
Maharashtra,103.2,105.5,104.3,94.7,92.5,93.7,72.0,70.9,71.5,36.2,33.5,34.9
Manipur,115.4,119.9,117.6,74.7,77.4,76.0,70.0,69.7,69.9,36.9,38.6,37.8
Meghalaya,150.4,161.2,155.7,76.1,94.4,85.1,39.4,52.7,46.0,22.6,29.0,25.8
Mizoram,136.9,138.2,137.5,89.1,97.9,93.4,57.1,65.7,61.3,26.2,27.5,26.8
Nagaland,84.4,90.5,87.3,57.8,67.1,62.2,33.0,38.8,35.8,15.4,19.3,17.3
Odisha,95.5,95.3,95.4,80.1,80.6,80.3,41.8,45.4,43.6,21.3,20.1,20.7
Punjab,109.4,109.8,109.6,94.8,95.4,95.1,81.2,83.1,82.1,23.9,29.1,26.3
Rajasthan,101.7,101.9,101.8,82.4,75.8,79.2,74.0,66.3,70.4,26.1,26.0,26.1
Sikkim,94.5,91.2,92.9,86.3,92.0,89.1,56.6,72.0,64.2,36.3,44.0,39.9
Tamil Nadu,98.4,99.2,98.8,95.7,95.5,95.6,77.3,85.9,81.5,45.4,48.6,46.9
Telangana,110.3,110.1,110.2,93.6,94.5,94.1,63.1,66.7,64.8,37.4,40.9,39.1
Tripura,107.2,111.2,109.1,78.4,84.3,81.3,52.5,60.4,56.3,20.0,18.4,19.2
Uttar Pradesh,96.5,99.9,98.1,72.0,66.2,69.3,52.8,48.3,50.7,22.3,24.3,23.2
Uttarakhand,111.3,115.4,113.2,89.1,90.8,89.6,77.2,80.6,78.8,42.8,48.9,45.7
West Bengal,107.8,109.1,108.5,83.4,93.2,88.2,53.7,70.6,62.0,20.3,22.3,21.3
Andaman and Nicobar Islands,68.1,70.5,69.2,65.1,72.7,68.6,62.0,70.2,65.8,21.6,27.1,24.3
Chandigarh,84.1,94.1,88.5,85.8,95.8,90.1,76.1,89.4,81.7,57.8,77.0,66.1
D & N Haveli,87.8,92.0,89.8,71.9,79.0,75.0,44.7,70.8,54.9,7.9,15.6,10.4
Daman & Diu,87.8,92.0,89.8,71.9,79.0,75.0,44.7,70.8,54.9,7.9,15.6,10.4
Delhi,118.3,124.5,121.3,110.5,112.2,111.2,91.2,99.5,94.9,46.7,48.5,47.6
Goa,89.4,93.0,91.1,80.6,85.7,83.0,71.2,76.3,73.7,30.8,37.3,33.8
Lakshadweep,75.4,71.1,73.2,64.7,61.9,63.3,64.9,60.0,62.4,3.3,11.4,7.2
Puducherry,76.4,77.7,77.0,73.4,79.1,76.1,64.6,73.1,68.7,60.3,61.1,60.8
India,99.3,101.1,100.1,79.7,79.4,79.6,57.0,58.2,57.6,26.7,27.9,27.3
