state,primary-boys,primary-girls,primary-total,lower-secondary-boys,lower-secondary-girls,lower-secondary-total,upper-secondary-boys,upper-secondary-girls,upper-secondary-total,college-boys,college-girls,college-total
Andhra Pradesh,86.7,83.1,85.0,78.5,80.2,79.3,44.1,50.7,47.3,35.8,29.0,32.4
Arunachal Pradesh,109.5,112.7,111.0,87.9,87.9,87.9,54.3,55.3,54.8,29.9,29.5,29.7
Assam,98.3,104.7,101.4,73.0,84.0,78.4,37.5,40.5,38.9,19.1,18.3,18.7
Bihar,92.5,103.1,97.5,69.1,83.1,75.5,31.6,31.5,31.5,15.1,12.0,13.6
Chhattisgarh,97.4,98.3,97.9,85.3,91.3,88.3,52.5,55.4,53.9,18.1,19.2,18.6
Gujarat,92.7,96.9,94.6,82.0,71.1,77.1,48.3,44.3,46.5,22.0,18.7,20.4
Haryana,94.7,101.1,97.5,91.8,94.3,92.9,59.7,59.1,59.4,26.5,32.4,29.2
Himachal Pradesh,98.6,100.5,99.5,104.7,106.0,105.3,89.6,92.5,91.0,34.7,44.9,39.6
Jammu & Kashmir,72.7,75.7,74.1,67.5,66.1,66.8,63.5,60.8,62.2,29.6,32.2,30.9
Jharkhand,100.4,103.4,101.8,68.9,76.5,72.5,55.7,57.9,56.7,19.5,18.7,19.1
Karnataka,100.5,100.6,100.5,82.8,84.8,83.7,47.0,53.0,49.9,28.2,29.4,28.8
Kerala,94.2,95.0,94.6,97.0,97.9,97.4,74.0,84.4,79.1,30.8,43.2,37.0
Madhya Pradesh,88.0,90.2,89.1,81.2,80.0,80.6,49.2,47.5,48.4,21.8,21.2,21.5
Maharashtra,96.9,98.6,97.7,93.6,91.6,92.7,75.5,69.7,71.2,33.5,30.3,32.0
Manipur,127.4,127.6,127.5,95.7,95.7,95.7,76.0,69.1,72.5,33.6,33.8,33.7
Meghalaya,142.9,150.0,146.4,82.9,97.4,90.0,41.6,48.2,44.9,23.8,27.7,25.8
Mizoram,123.3,121.4,122.4,99.0,105.2,102.0,50.8,56.6,53.7,26.5,24.8,25.7
Nagaland,88.0,91.6,89.1,69.9,75.0,72.4,35.2,37.3,36.2,17.8,19.7,18.7
Odisha,96.6,95.2,95.9,81.3,80.6,80.9,43.6,42.9,43.2,24.2,20.0,22.1
Punjab,92.4,100.1,95.7,87.2,91.3,88.9,68.9,72.7,70.6,25.5,34.3,29.5
Rajasthan,97.1,97.7,97.4,82.8,76.0,79.7,67.8,55.7,62.1,23.1,23.0,23.0
Sikkim,108.6,106.9,107.8,109.7,123.7,116.6,64.3,76.9,70.5,54.0,53.9,53.9
Tamil Nadu,92.0,93.1,92.5,84.1,88.7,86.3,74.2,91.6,82.5,49.8,48.3,49.0
Telangana,94.4,94.4,94.4,82.5,85.5,84.0,58.0,68.1,62.9,35.8,36.5,36.2
Tripura,110.8,113.3,112.0,107.7,115.4,111.5,45.6,44.8,45.3,21.1,17.4,19.2
Uttar Pradesh,76.3,85.7,80.6,64.7,61.9,63.4,57.5,53.0,55.3,24.2,27.5,25.8
Uttarakhand,92.0,92.2,92.1,82.8,82.7,82.7,74.7,78.8,76.6,39.2,39.1,39.1
West Bengal,98.0,103.6,100.7,75.3,95.9,85.3,51.0,62.2,56.3,20.0,18.7,19.3
Andaman and Nicobar Islands,85.3,80.0,82.6,83.0,78.7,80.0,69.9,72.8,71.3,20.3,26.1,23.2
Chandigarh,80.4,91.0,85.0,83.1,92.8,87.2,83.5,93.1,87.4,41.6,63.9,50.6
D & N Haveli,87.0,80.9,84.0,90.6,86.3,88.6,41.4,47.8,44.3,7.4,12.6,9.3
Daman & Diu,77.0,86.5,81.1,64.2,86.1,73.1,24.6,54.1,34.1,4.2,9.8,5.5
Delhi,108.5,120.4,113.7,102.7,115.7,108.4,71.3,82.1,76.2,43.2,50.0,46.3
Goa,96.4,101.0,98.5,97.3,98.5,97.9,72.8,87.2,79.5,26.4,35.0,30.1
Lakshadweep,78.1,69.3,73.4,92.3,89.7,91.0,94.3,83.6,88.5,3.4,11.6,7.4
Puducherry,76.1,85.4,80.3,76.6,88.9,82.1,56.2,77.6,65.8,41.7,51.6,46.4
India,90.8,95.6,93.0,78.3,80.6,79.4,56.0,57.0,56.5,26.3,26.4,26.3
