state,primary-boys,primary-girls,primary-total,lower-secondary-boys,lower-secondary-girls,lower-secondary-total,upper-secondary-boys,upper-secondary-girls,upper-secondary-total
Andaman and Nicobar Islands,77.3,80.8,79.0,75.1,82.1,78.3,38.4,52.8,45.1
Andhra Pradesh,99.2,95.7,97.5,81.6,81.2,81.4,48.9,55.7,52.2
Arunachal Pradesh,103.5,106.9,105.2,58.7,66.1,62.3,33.0,38.7,35.8
Assam,104.5,110.4,107.4,67.7,80.7,74.0,30.4,31.4,30.9
Bihar,85.9,90.5,88.1,56.2,61.0,58.5,30.6,31.0,30.8
Chandigarh,87.6,96.7,91.6,82.5,94.4,87.6,72.4,85.8,78.0
Chhattisgarh,95.4,95.5,95.5,83.6,90.2,86.9,49.7,59.1,54.3
D & N Haveli,91.2,94.1,92.5,88.9,98.0,93.0,48.7,68.0,56.9
Daman & Diu,88.3,91.7,89.8,68.6,84.7,75.4,26.1,55.6,36.2
Delhi,119.2,123.7,121.3,108.1,112.9,110.3,69.0,77.5,72.8
Goa,94.8,98.1,96.4,89.5,91.4,90.4,63.8,73.8,68.6
Gujarat,92.7,95.0,93.8,82.7,71.4,77.4,43.5,42.8,43.2
Haryana,103.1,102.4,102.8,96.0,91.3,93.9,60.6,63.1,61.8
Himachal Pradesh,103.9,105.5,104.6,103.2,103.3,103.3,80.3,87.0,83.4
Jammu & Kashmir,80.3,83.7,81.9,58.4,58.9,58.7,38.4,38.4,38.4
Jharkhand,94.3,95.9,95.1,58.7,62.8,60.7,40.5,41.1,40.8
Karnataka,105.4,104.6,105.0,87.4,85.3,86.4,48.0,56.5,52.1
Kerala,99.3,99.0,99.1,97.6,96.7,97.2,79.1,87.1,83.0
Ladakh,73.2,81.5,77.1,53.7,63.1,58.2,33.2,45.7,39.2
Lakshadweep,73.1,69.1,71.1,57.7,68.8,63.1,66.0,69.0,67.6
Madhya Pradesh,92.9,91.8,92.4,78.3,72.5,75.5,45.2,44.8,45.0
Maharashtra,103.4,103.6,103.5,92.7,89.9,91.4,67.2,66.7,67.0
Manipur,114.5,117.7,116.1,72.2,74.5,73.3,57.7,56.5,57.1
Meghalaya,139.3,147.8,143.5,74.7,92.0,83.2,38.9,47.9,43.4
Mizoram,124.7,124.0,124.4,91.1,98.4,94.7,51.2,56.3,53.7
Nagaland,82.1,86.9,84.4,54.7,61.9,58.1,32.6,35.5,34.0
Odisha,94.7,93.3,94.0,78.9,79.1,79.0,46.7,48.4,47.6
Puducherry,84.0,85.4,84.7,77.5,83.4,80.3,63.1,76.1,69.3
Punjab,109.0,109.7,109.3,101.3,105.2,103.1,69.5,73.5,71.3
Rajasthan,100.3,99.0,99.7,88.8,79.1,84.2,62.4,54.1,58.5
Sikkim,95.3,91.7,93.6,93.6,105.3,99.4,48.0,59.7,53.7
Tamil Nadu,97.9,98.2,98.0,90.1,91.1,90.5,66.3,80.6,73.2
Telangana,106.2,106.4,106.3,87.2,88.8,88.0,53.1,61.5,57.2
Tripura,105.7,109.0,107.3,86.5,92.6,89.5,39.5,41.9,40.7
Uttar Pradesh,93.1,97.3,95.1,68.1,63.3,65.8,48.2,45.4,46.9
Uttarakhand,107.3,109.7,108.5,91.3,91.8,91.4,66.2,73.0,69.3
West Bengal,102.3,105.0,103.6,76.8,96.1,86.3,50.1,60.6,55.2
India,97.0,98.7,97.8,78.0,77.8,77.9,50.5,52.4,51.4
