state,2021,2019,2018,2017,2015,2011,2010,2007,2006,2001,2000,1999,1998,1996,1992
Andhra Pradesh,86.3,81.6,80.0,78.5,,,,,,,,,,,
Arunachal Pradesh,65.0,58.7,67.9,87.9,,,,,,,,,,,
Assam,67.9,67.7,67.1,73.0,,,,,,,,,,,
Bihar,63.1,56.2,54.8,69.1,,,,,,,,,,,
Chhattisgarh,75.3,83.6,81.7,85.3,,,,,,,,,,,
Gujarat,77.2,82.7,81.8,82.0,,,,,,,,,,,
Haryana,96.0,96.0,95.6,91.8,,,,,,,,,,,
Himachal Pradesh,93.5,103.2,105.7,104.7,,,,,,,,,,,
Jammu & Kashmir,59.9,58.4,58.2,67.5,,,,,,,,,,,
Jharkhand,66.4,58.7,59.0,68.9,,,,,,,,,,,
Karnataka,94.6,87.4,84.5,82.8,,,,,,,,,,,
Kerala,98.3,97.6,98.5,97.0,,,,,,,,,,,
Ladakh,54.6,53.7,,,,,,,,,,,,,
Madhya Pradesh,71.4,78.3,80.0,81.2,,,,,,,,,,,
Maharashtra,94.7,92.7,92.5,93.6,,,,,,,,,,,
Manipur,74.7,72.2,68.9,95.7,,,,,,,,,,,
Meghalaya,76.1,74.7,72.3,82.9,,,,,,,,,,,
Mizoram,89.1,91.1,90.5,99.0,,,,,,,,,,,
Nagaland,57.8,54.7,55.2,69.9,,,,,,,,,,,
Odisha,80.1,78.9,81.0,81.3,,,,,,,,,,,
Punjab,94.8,101.3,93.0,87.2,,,,,,,,,,,
Rajasthan,82.4,88.8,86.2,82.8,,,,,,,,,,,
Sikkim,86.3,93.6,96.0,109.7,,,,,,,,,,,
Tamil Nadu,95.7,90.1,90.0,84.1,,,,,,,,,,,
Telangana,93.6,87.2,83.7,82.5,,,,,,,,,,,
Tripura,78.4,86.5,86.7,107.7,,,,,,,,,,,
Uttar Pradesh,72.0,68.1,67.3,64.7,,,,,,,,,,,
Uttarakhand,89.1,91.3,88.0,82.8,,,,,,,,,,,
West Bengal,83.4,76.8,72.4,75.3,,,,,,,,,,,
Andaman and Nicobar Islands,65.1,75.1,66.3,83.0,,,,,,,,,,,
Chandigarh,85.8,82.5,86.6,83.1,,,,,,,,,,,
D & N Haveli,71.9,88.9,90.7,90.6,,,,,,,,,,,
Daman & Diu,71.9,68.6,66.1,64.2,,,,,,,,,,,
Delhi,110.5,108.1,107.7,102.7,,,,,,,,,,,
Goa,80.6,89.5,90.6,97.3,,,,,,,,,,,
Lakshadweep,64.7,57.7,107.9,92.3,,,,,,,,,,,
Puducherry,73.4,77.5,81.4,76.6,,,,,,,,,,,
India,79.7,78.0,76.9,78.3,,,,,,,,,,,
