state,2021,2019,2018,2017,2015,2011,2010,2007,2006,2001,2000,1999,1998,1996,1992
Andhra Pradesh,85.4,81.4,79.7,79.3,,,,,,,,,,,
Arunachal Pradesh,66.5,62.3,69.1,87.9,,,,,,,,,,,
Assam,74.5,74.0,72.8,78.4,,,,,,,,,,,
Bihar,64.9,58.5,57.7,75.5,,,,,,,,,,,
Chhattisgarh,78.3,86.9,86.6,88.3,,,,,,,,,,,
Gujarat,75.2,77.4,76.1,77.1,,,,,,,,,,,
Haryana,94.7,93.9,93.9,92.9,,,,,,,,,,,
Himachal Pradesh,94.1,103.3,105.9,105.3,,,,,,,,,,,
Jammu & Kashmir,60.5,58.7,58.1,66.8,,,,,,,,,,,
Jharkhand,68.4,60.7,60.9,72.5,,,,,,,,,,,
Karnataka,94.7,86.4,83.7,83.7,,,,,,,,,,,
Kerala,97.9,97.2,98.0,97.4,,,,,,,,,,,
Ladakh,58.8,58.2,,,,,,,,,,,,,
Madhya Pradesh,70.0,75.5,77.4,80.6,,,,,,,,,,,
Maharashtra,93.7,91.4,91.1,92.7,,,,,,,,,,,
Manipur,76.0,73.3,69.7,95.7,,,,,,,,,,,
Meghalaya,85.1,83.2,79.5,90.0,,,,,,,,,,,
Mizoram,93.4,94.7,93.6,102.0,,,,,,,,,,,
Nagaland,62.2,58.1,58.3,72.4,,,,,,,,,,,
Odisha,80.3,79.0,80.7,80.9,,,,,,,,,,,
Punjab,95.1,103.1,93.2,88.9,,,,,,,,,,,
Rajasthan,79.2,84.2,81.6,79.7,,,,,,,,,,,
Sikkim,89.1,99.4,101.2,116.6,,,,,,,,,,,
Tamil Nadu,95.6,90.5,90.5,86.3,,,,,,,,,,,
Telangana,94.1,88.0,84.8,84.0,,,,,,,,,,,
Tripura,81.3,89.5,90.2,111.5,,,,,,,,,,,
Uttar Pradesh,69.3,65.8,65.4,63.4,,,,,,,,,,,
Uttarakhand,89.6,91.4,88.9,82.7,,,,,,,,,,,
West Bengal,88.2,86.3,81.5,85.3,,,,,,,,,,,
Andaman and Nicobar Islands,68.6,78.3,74.2,80.0,,,,,,,,,,,
Chandigarh,90.1,87.6,93.0,87.2,,,,,,,,,,,
D & N Haveli,75.0,93.0,90.4,88.6,,,,,,,,,,,
Daman & Diu,75.0,75.4,79.0,73.1,,,,,,,,,,,
Delhi,111.2,110.3,110.4,108.4,,,,,,,,,,,
Goa,83.0,90.4,92.6,97.9,,,,,,,,,,,
Lakshadweep,63.3,63.1,70.7,91.0,,,,,,,,,,,
Puducherry,76.1,80.3,83.2,82.1,,,,,,,,,,,
India,79.6,77.9,76.9,79.4,,,,,,,,,,,
