state,2021,2019,2018,2017,2015,2011,2010,2007,2006,2001,2000,1999,1998,1996,1992
Andhra Pradesh,101.1,99.2,94.8,86.7,83.5,86.1,92.2,90.2,88.5,84.42,84.28,52.3,50.86,51.2,73.9
Arunachal Pradesh,108.3,103.5,99.9,109.5,127.5,117.6,155.7,146.3,125.5,106.55,107.05,72.42,,,
Assam,106.2,104.5,101.9,98.3,98.8,74.2,83.0,82.2,86.1,108.63,108.35,81.02,69.41,82.9,89.3
Bihar,95.1,85.9,85.3,92.5,102.4,88.9,106.9,100.8,83.7,72.72,75.92,41.38,42.43,44.2,47.4
Chhattisgarh,95.7,95.4,96.4,97.4,100.7,106.5,112.2,111.6,114.3,106.95,,,,,
Gujarat,90.7,92.7,93.9,92.7,95.3,98.9,108.2,108.9,110.6,109.52,112.84,71.81,72.06,74.5,82.8
Haryana,103.0,103.1,102.0,94.7,89.0,82.4,87.5,84.3,83.7,73.27,73.58,64.58,67.17,64.7,81.8
Himachal Pradesh,105.3,103.9,102.8,98.6,100.0,101.9,111.7,110.4,111.7,99.23,98.3,91.8,,,
Jammu & Kashmir,88.5,80.3,76.3,72.7,78.8,85.0,103.9,104.7,91.8,95.91,93.04,79.54,,,
Jharkhand,96.4,94.3,96.1,100.4,104.9,102.2,120.6,123.8,95.5,78.02,,,,,
Karnataka,107.2,105.4,105.5,100.5,99.0,99.2,100.2,99.8,101.5,101.54,101.76,70.71,70.94,67.0,72.4
Kerala,101.3,99.3,98.0,94.2,95.1,91.4,97.1,98.6,96.0,91.41,92.32,97.78,97.15,96.1,108.3
Ladakh,70.3,73.2,,,,,,,,,,,,,
Madhya Pradesh,88.9,92.9,92.9,88.0,93.5,111.2,119.8,133.3,134.1,101.13,101.71,75.28,75.03,75.8,82.5
Maharashtra,103.2,103.4,102.8,96.9,97.7,99.0,101.5,99.8,110.3,104.54,104.23,96.72,89.28,86.9,89.0
Manipur,115.4,114.5,111.1,127.4,128.3,112.7,158.7,155.4,143.2,99.35,95.72,79.62,,,
Meghalaya,150.4,139.3,131.2,142.9,134.9,110.2,150.8,135.2,152.3,97.07,97.29,57.42,,,
Mizoram,136.9,124.7,120.2,123.3,128.3,114.0,155.6,143.0,132.5,113.87,101.35,78.77,,,
Nagaland,84.4,82.1,80.1,88.0,98.3,79.3,85.4,83.2,79.1,92.19,94.94,58.67,,,
Odisha,95.5,94.7,94.8,96.6,101.2,95.2,105.0,105.6,102.0,107.19,105.52,66.59,46.84,69.6,67.5
Punjab,109.4,109.0,104.4,92.4,98.0,101.3,104.1,102.8,74.1,72.41,73.45,64.53,67.29,64.8,71.8
Rajasthan,101.7,100.3,99.2,97.1,97.8,95.8,103.0,110.0,112.9,124.84,125.28,105.89,78.57,76.0,76.8
Sikkim,94.5,95.3,97.1,108.6,119.5,115.3,121.7,118.8,111.6,97.34,112.97,70.96,,,
Tamil Nadu,98.4,97.9,98.5,92.0,99.0,110.9,111.8,114.3,114.8,96.12,95.47,88.56,89.18,96.6,111.3
Telangana,110.3,106.2,102.6,94.4,97.6,,,,,,,,,,
Tripura,107.2,105.7,103.9,110.8,113.4,110.3,116.0,123.6,121.8,97.17,99.16,69.96,,,
Uttar Pradesh,96.5,93.1,89.7,76.3,81.3,97.7,109.3,94.7,95.6,67.49,67.57,48.69,48.88,62.4,72.2
Uttarakhand,111.3,107.3,105.6,92.0,93.9,88.7,105.9,105.8,108.5,90.21,,,,,
West Bengal,107.8,102.3,97.8,98.0,101.2,101.4,88.7,107.2,89.7,92.14,91.06,57.0,56.99,90.6,98.2
Andaman and Nicobar Islands,68.1,77.3,79.2,85.3,89.3,104.3,88.3,75.6,104.9,87.37,88.46,91.22,,,
Chandigarh,84.1,87.6,90.3,80.4,82.3,105.8,80.7,62.6,87.3,58.31,66.28,68.06,,,
D & N Haveli,87.8,91.2,92.6,87.0,88.0,105.4,103.1,105.2,137.6,129.88,124.52,77.28,,,
Daman & Diu,87.8,88.3,87.5,77.0,77.9,96.8,75.1,72.4,134.3,104.33,102.97,92.6,,,
Delhi,118.3,119.2,118.4,108.5,111.8,109.9,120.0,116.3,99.8,86.37,57.46,63.08,,,
Goa,89.4,94.8,96.6,96.4,99.3,116.9,104.0,88.8,110.6,71.08,73.24,77.03,,,
Lakshadweep,75.4,73.1,73.5,78.1,83.3,108.1,78.4,74.0,59.3,106.58,114.42,78.93,,,
Puducherry,76.4,84.0,84.6,76.1,81.0,110.6,105.6,95.6,135.4,88.98,89.76,96.96,,,
India,99.3,97.0,95.5,90.8,94.5,97.2,104.9,103.8,100.4,90.69,,67.15,64.19,70.8,79.3
