state,2021,2019,2018,2017,2015,2011,2010,2007,2006,2001,2000,1999,1998,1996,1992
Andhra Pradesh,55.2,48.9,45.4,44.1,,,,,,,,,,,
Arunachal Pradesh,51.4,33.0,38.0,54.3,,,,,,,,,,,
Assam,38.0,30.4,31.0,37.5,,,,,,,,,,,
Bihar,35.6,30.6,26.4,31.6,,,,,,,,,,,
Chhattisgarh,62.9,49.7,48.6,52.5,,,,,,,,,,,
Gujarat,48.6,43.5,42.0,48.3,,,,,,,,,,,
Haryana,75.1,60.6,56.1,59.7,,,,,,,,,,,
Himachal Pradesh,93.0,80.3,79.5,89.6,,,,,,,,,,,
Jammu & Kashmir,53.4,38.4,42.4,63.5,,,,,,,,,,,
Jharkhand,44.9,40.5,38.4,55.7,,,,,,,,,,,
Karnataka,54.6,48.0,40.3,47.0,,,,,,,,,,,
Kerala,81.8,79.1,75.9,74.0,,,,,,,,,,,
Ladakh,44.4,33.2,,,,,,,,,,,,,
Madhya Pradesh,51.9,45.2,44.7,49.2,,,,,,,,,,,
Maharashtra,72.0,67.2,70.6,75.5,,,,,,,,,,,
Manipur,70.0,57.7,56.6,76.0,,,,,,,,,,,
Meghalaya,39.4,38.9,37.6,41.6,,,,,,,,,,,
Mizoram,57.1,51.2,48.8,50.8,,,,,,,,,,,
Nagaland,33.0,32.6,32.8,35.2,,,,,,,,,,,
Odisha,41.8,46.7,62.2,43.6,,,,,,,,,,,
Punjab,81.2,69.5,67.6,68.9,,,,,,,,,,,
Rajasthan,74.0,62.4,61.3,67.8,,,,,,,,,,,
Sikkim,56.6,48.0,51.8,64.3,,,,,,,,,,,
Tamil Nadu,77.3,66.3,65.0,74.2,,,,,,,,,,,
Telangana,63.1,53.1,52.6,58.0,,,,,,,,,,,
Tripura,52.5,39.5,38.2,45.6,,,,,,,,,,,
Uttar Pradesh,52.8,48.2,47.0,57.5,,,,,,,,,,,
Uttarakhand,77.2,66.2,63.5,74.7,,,,,,,,,,,
West Bengal,53.7,50.1,47.2,51.0,,,,,,,,,,,
Andaman and Nicobar Islands,62.0,38.4,48.6,69.9,,,,,,,,,,,
Chandigarh,76.1,72.4,81.5,83.5,,,,,,,,,,,
D & N Haveli,44.7,48.7,46.8,41.4,,,,,,,,,,,
Daman & Diu,44.7,26.1,25.6,24.6,,,,,,,,,,,
Delhi,91.2,69.0,66.9,71.3,,,,,,,,,,,
Goa,71.2,63.8,67.1,72.8,,,,,,,,,,,
Lakshadweep,64.9,66.0,108.7,94.3,,,,,,,,,,,
Puducherry,64.6,63.1,62.1,56.2,,,,,,,,,,,
India,57.0,50.5,49.5,56.0,,,,,,,,,,,
