state,2021,2019,2018,2017,2015,2011,2010,2007,2006,2001,2000,1999,1998,1996,1992
Andhra Pradesh,58.3,55.7,48.5,50.7,,,,,,,,,,,
Arunachal Pradesh,56.1,38.7,39.0,55.3,,,,,,,,,,,
Assam,42.2,31.4,30.9,40.5,,,,,,,,,,,
Bihar,36.2,31.0,26.3,31.5,,,,,,,,,,,
Chhattisgarh,73.6,59.1,55.7,55.4,,,,,,,,,,,
Gujarat,47.8,42.8,40.3,44.3,,,,,,,,,,,
Haryana,76.0,63.1,55.9,59.1,,,,,,,,,,,
Himachal Pradesh,95.3,87.0,84.4,92.5,,,,,,,,,,,
Jammu & Kashmir,52.9,38.4,42.0,60.8,,,,,,,,,,,
Jharkhand,48.0,41.1,39.3,57.9,,,,,,,,,,,
Karnataka,58.8,56.5,48.7,53.0,,,,,,,,,,,
Kerala,88.4,87.1,84.9,84.4,,,,,,,,,,,
Ladakh,54.8,45.7,,,,,,,,,,,,,
Madhya Pradesh,50.7,44.8,42.7,47.5,,,,,,,,,,,
Maharashtra,70.9,66.7,67.1,69.7,,,,,,,,,,,
Manipur,69.7,56.5,53.0,69.1,,,,,,,,,,,
Meghalaya,52.7,47.9,45.8,48.2,,,,,,,,,,,
Mizoram,65.7,56.3,55.1,56.6,,,,,,,,,,,
Nagaland,38.8,35.5,35.8,37.3,,,,,,,,,,,
Odisha,45.4,48.4,69.6,42.9,,,,,,,,,,,
Punjab,83.1,73.5,68.8,72.7,,,,,,,,,,,
Rajasthan,66.3,54.1,51.2,55.7,,,,,,,,,,,
Sikkim,72.0,59.7,64.7,76.9,,,,,,,,,,,
Tamil Nadu,85.9,80.6,80.1,91.6,,,,,,,,,,,
Telangana,66.7,61.5,60.7,68.1,,,,,,,,,,,
Tripura,60.4,41.9,39.1,44.8,,,,,,,,,,,
Uttar Pradesh,48.3,45.4,45.1,53.0,,,,,,,,,,,
Uttarakhand,80.6,73.0,69.5,78.8,,,,,,,,,,,
West Bengal,70.6,60.6,56.6,62.2,,,,,,,,,,,
Andaman and Nicobar Islands,70.2,52.8,58.2,72.8,,,,,,,,,,,
Chandigarh,89.4,85.8,90.3,93.1,,,,,,,,,,,
D & N Haveli,70.8,68.0,62.4,47.8,,,,,,,,,,,
Daman & Diu,70.8,55.6,46.6,54.1,,,,,,,,,,,
Delhi,99.5,77.5,73.9,82.1,,,,,,,,,,,
Goa,76.3,73.8,77.4,87.2,,,,,,,,,,,
Lakshadweep,60.0,69.0,55.9,83.6,,,,,,,,,,,
Puducherry,73.1,76.1,78.4,77.6,,,,,,,,,,,
India,58.2,52.4,50.8,57.0,,,,,,,,,,,
