state,2021,2019,2018,2017,2015,2011,2010,2007,2006,2001,2000,1999,1998,1996,1992
Andhra Pradesh,56.7,52.2,46.8,47.3,,,,,,,,,,,
Arunachal Pradesh,53.7,35.8,38.5,54.8,,,,,,,,,,,
Assam,40.1,30.9,30.9,38.9,,,,,,,,,,,
Bihar,35.9,30.8,26.4,31.5,,,,,,,,,,,
Chhattisgarh,68.1,54.3,52.1,53.9,,,,,,,,,,,
Gujarat,48.2,43.2,41.2,46.5,,,,,,,,,,,
Haryana,75.5,61.8,56.1,59.4,,,,,,,,,,,
Himachal Pradesh,94.1,83.4,81.8,91.0,,,,,,,,,,,
Jammu & Kashmir,53.2,38.4,42.3,62.2,,,,,,,,,,,
Jharkhand,46.4,40.8,38.9,56.7,,,,,,,,,,,
Karnataka,56.6,52.1,44.4,49.9,,,,,,,,,,,
Kerala,85.0,83.0,80.3,79.1,,,,,,,,,,,
Ladakh,49.4,39.2,,,,,,,,,,,,,
Madhya Pradesh,51.3,45.0,43.7,48.4,,,,,,,,,,,
Maharashtra,71.5,67.0,68.9,71.2,,,,,,,,,,,
Manipur,69.9,57.1,54.8,72.5,,,,,,,,,,,
Meghalaya,46.0,43.4,41.6,44.9,,,,,,,,,,,
Mizoram,61.3,53.7,51.9,53.7,,,,,,,,,,,
Nagaland,35.8,34.0,33.9,36.2,,,,,,,,,,,
Odisha,43.6,47.6,65.9,43.2,,,,,,,,,,,
Punjab,82.1,71.3,68.1,70.6,,,,,,,,,,,
Rajasthan,70.4,58.5,56.5,62.1,,,,,,,,,,,
Sikkim,64.2,53.7,58.2,70.5,,,,,,,,,,,
Tamil Nadu,81.5,73.2,72.3,82.5,,,,,,,,,,,
Telangana,64.8,57.2,56.5,62.9,,,,,,,,,,,
Tripura,56.3,40.7,38.6,45.3,,,,,,,,,,,
Uttar Pradesh,50.7,46.9,46.1,55.3,,,,,,,,,,,
Uttarakhand,78.8,69.3,66.2,76.6,,,,,,,,,,,
West Bengal,62.0,55.2,51.7,56.3,,,,,,,,,,,
Andaman and Nicobar Islands,65.8,45.1,56.4,71.3,,,,,,,,,,,
Chandigarh,81.7,78.0,83.4,87.4,,,,,,,,,,,
D & N Haveli,54.9,56.9,53.5,44.3,,,,,,,,,,,
Daman & Diu,54.9,36.2,33.2,34.1,,,,,,,,,,,
Delhi,94.9,72.8,70.1,76.2,,,,,,,,,,,
Goa,73.7,68.6,72.0,79.5,,,,,,,,,,,
Lakshadweep,62.4,67.6,73.5,88.5,,,,,,,,,,,
Puducherry,68.7,69.3,69.8,65.8,,,,,,,,,,,
India,57.6,51.4,50.1,56.5,,,,,,,,,,,
