state,1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019
Andhra Pradesh,61.2,61.4,60.9,61.1,61.0,61.3,61.7,62.3,62.8,62.9,63.2,63.5,63.4,63.5,64.0,64.7,65.5,66.3,67.1,68,68.3,68.7,68.9,63.5,63.7,64.1,64.4,65.1,65.6,66.3,67.1,67.5,67.8,68.0,68.1,67.9,68.2,68.6,69.4,70.4,70.8,71.2,71.4,71.2,71.4,71.8
Assam,56.6,56.9,57.1,57.3,57.2,57.4,58.2,58.2,58.4,59.2,60.1,60.0,60.5,61.0,61.2,61.2,61.9,62.7,63.5,64.4,65.4,66.1,66.8,57.1,57.4,57.6,57.7,57.9,58.9,59.2,59.6,60.3,61.1,61.3,62.3,62.9,63.2,63.6,64.8,65.1,65.5,66.2,66.8,67.3,67.9,68.3
Bihar,60.4,60.5,60.1,61.1,62.0,63.4,64.6,64.3,64.2,64.6,64.4,64.2,64.9,65.5,65.9,66.7,67.3,67.8,68.5,68.9,69.2,69.4,69.6,58.4,58.7,58.9,59.9,61.3,62.5,63.4,63.9,64.1,64.3,64.4,64.7,65.3,66.2,66.8,67.6,68.0,68.4,68.3,68.5,68.6,68.7,68.8
Chhattisgarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63.3,63.6,63.6,63.8,63.7,63.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66.3,66.8,68.5,66.6,66.6,66.9
Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72.0,72.5,72.7,73.3,73.8,74.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74.7,75.4,68.5,76.3,77.0,77.5
Gujarat,60.9,61.4,62.7,63.0,63.1,63.0,63.0,63.7,63.7,63.8,64.0,64.3,64.4,64.9,65.2,65.5,66.0,66.6,66.9,67.4,67.6,67.8,67.9,62.9,63.3,65.6,65.8,66.3,66.7,67.2,67.6,67.8,68.0,68.3,68.7,68.7,69.0,69.6,70.1,70.5,71.0,71.6,68.5,72.0,72.3,72.8
Haryana,63.7,63.9,63.9,64.1,64.1,64.4,64.4,64.6,65.0,65.4,65.2,65.3,65.1,67.0,65.0,65.4,65.8,66.3,66.9,67.2,67.6,67.7,67.7,64.6,64.8,64.1,64.7,65.3,65.9,67.2,67.8,68.2,68.8,69.3,69.0,69.2,69.5,69.8,70.1,70.9,71.3,71.9,68.5,72.3,72.3,72.6
Himachal Pradesh,64.6,64.8,64.8,65.7,66.3,66.6,67.1,67.3,67.4,67.4,67.8,67.7,67.7,67.7,67.9,68.3,69.0,69.3,69.1,69.4,69.8,69.6,69.9,65.2,65.5,67.7,68.3,69.4,70.2,71.4,72.0,71.8,72.0,72.2,72.1,72.0,72.4,72.3,72.7,73.1,74.1,75.2,68.5,75.6,76.8,77.1
Jammu & Kashmir,-,-,-,-,-,64.7,64.4,65.9,67.1,69.2,68.6,69.0,68.9,69.2,69.4,69.9,70.6,70.9,71.2,71.6,72.1,72.2,72.6,-,-,-,-,-,67.3,68.0,68.9,69.9,71.0,70.8,70.6,71.2,71.1,71.9,72.4,74.0,74.9,76.1,68.5,76.7,76.2,76.1
