state,2021,2019,2018,2017,2015,2011,2010,2007,2006,2001,2000,1999,1998,1996,1992
Andhra Pradesh,84.5,81.2,79.4,80.2,,,,,,,,,,,
Arunachal Pradesh,68.1,66.1,70.3,87.9,,,,,,,,,,,
Assam,81.3,80.7,78.7,84.0,,,,,,,,,,,
Bihar,66.8,61.0,60.8,83.1,,,,,,,,,,,
Chhattisgarh,81.4,90.2,91.7,91.3,,,,,,,,,,,
Gujarat,72.8,71.4,69.5,71.1,,,,,,,,,,,
Haryana,93.2,91.3,91.7,94.3,,,,,,,,,,,
Himachal Pradesh,94.8,103.3,106.2,106.0,,,,,,,,,,,
Jammu & Kashmir,61.3,58.9,58.1,66.1,,,,,,,,,,,
Jharkhand,70.5,62.8,62.8,76.5,,,,,,,,,,,
Karnataka,94.9,85.3,82.8,84.8,,,,,,,,,,,
Kerala,97.4,96.7,97.5,97.9,,,,,,,,,,,
Ladakh,63.2,63.1,,,,,,,,,,,,,
Madhya Pradesh,68.4,72.5,74.6,80.0,,,,,,,,,,,
Maharashtra,92.5,89.9,89.6,91.6,,,,,,,,,,,
Manipur,77.4,74.5,71.7,95.7,,,,,,,,,,,
Meghalaya,94.4,92.0,87.0,97.4,,,,,,,,,,,
Mizoram,97.9,98.4,92.7,105.2,,,,,,,,,,,
Nagaland,67.1,61.9,61.7,75.0,,,,,,,,,,,
Odisha,80.6,79.1,80.4,80.6,,,,,,,,,,,
Punjab,95.4,105.2,93.4,91.3,,,,,,,,,,,
Rajasthan,75.8,79.1,76.5,76.0,,,,,,,,,,,
Sikkim,92.0,105.3,106.4,123.7,,,,,,,,,,,
Tamil Nadu,95.5,91.1,91.0,88.7,,,,,,,,,,,
Telangana,94.5,88.8,85.9,85.5,,,,,,,,,,,
Tripura,84.3,92.6,94.0,115.4,,,,,,,,,,,
Uttar Pradesh,66.2,63.3,63.2,61.9,,,,,,,,,,,
Uttarakhand,90.8,91.8,90.0,82.7,,,,,,,,,,,
West Bengal,93.2,96.1,91.1,95.9,,,,,,,,,,,
Andaman and Nicobar Islands,72.7,82.1,73.8,78.7,,,,,,,,,,,
Chandigarh,95.8,94.4,101.7,92.8,,,,,,,,,,,
D & N Haveli,79.0,98.0,90.1,86.3,,,,,,,,,,,
Daman & Diu,79.0,84.7,75.3,86.1,,,,,,,,,,,
Delhi,112.2,112.9,113.7,115.7,,,,,,,,,,,
Goa,85.7,91.4,91.3,98.5,,,,,,,,,,,
Lakshadweep,61.9,68.8,104.3,89.7,,,,,,,,,,,
Puducherry,79.1,83.4,85.1,88.9,,,,,,,,,,,
India,79.4,77.8,76.9,80.6,,,,,,,,,,,
