state,2021,2019,2018,2017,2015,2011,2010,2007,2006,2001,2000,1999,1998,1996,1992
Andhra Pradesh,99.1,95.7,90.9,83.1,83.1,87.7,91.8,90.1,87.8,80.47,79.4,42.77,40.93,39.6,53.1
Arunachal Pradesh,111.5,106.9,102.7,112.7,128.1,112.9,148.2,138.1,111.4,90.87,93.34,66.68,,,
Assam,113.8,110.4,107.2,104.7,104.6,77.3,85.1,84.9,85.7,90.2,90.44,64.63,52.42,60.1,65.5
Bihar,97.4,90.5,90.0,103.1,113.7,86.6,98.5,86.0,63.8,45.78,45.62,22.04,23.13,24.8,21.0
Chhattisgarh,96.0,95.5,96.1,98.3,101.1,102.6,106.6,105.6,105.5,88.93,,,,,
Gujarat,94.3,95.0,95.0,96.9,98.3,97.2,106.1,106.0,94.6,94.5,92.98,57.31,58.0,58.9,55.5
Haryana,103.4,102.4,101.2,101.1,95.4,90.0,94.2,87.6,86.9,71.68,72.61,59.02,61.09,55.9,59.2
Himachal Pradesh,107.1,105.5,104.4,100.5,101.9,102.2,110.1,109.4,110.4,83.52,84.97,78.66,,,
Jammu & Kashmir,92.0,83.7,79.7,75.7,81.5,86.2,104.5,104.3,83.4,73.37,73.23,49.18,,,
Jharkhand,97.7,95.9,96.6,103.4,109.4,104.1,121.5,115.6,83.1,58.83,,,,,
Karnataka,107.0,104.6,103.5,100.6,99.8,97.1,98.3,97.7,98.3,93.42,94.97,60.49,61.06,54.9,57.2
Kerala,100.7,99.0,97.7,95.0,95.8,90.4,95.2,97.1,94.9,88.85,89.68,93.36,93.24,91.7,105.7
Ladakh,78.8,81.5,,,,,,,,,,,,,
Madhya Pradesh,88.4,91.8,91.1,90.2,95.2,116.3,125.6,130.2,125.8,81.34,81.36,48.7,48.09,45.7,50.0
Maharashtra,105.5,103.6,102.2,98.6,99.0,97.5,98.3,96.4,107.6,98.32,97.71,80.37,83.29,75.7,71.8
Manipur,119.9,117.7,113.7,127.6,132.9,117.3,151.1,147.7,136.7,84.41,83.74,71.34,,,
Meghalaya,161.2,147.8,138.9,150.0,144.0,117.9,156.3,141.9,153.3,91.64,93.75,62.28,,,
Mizoram,138.2,124.0,119.4,121.4,124.8,107.7,145.8,133.6,127.9,96.84,91.27,76.17,,,
Nagaland,90.5,86.9,83.4,91.6,102.7,80.2,85.4,83.5,79.1,87.22,89.15,61.14,,,
Odisha,95.3,93.3,93.0,95.2,99.2,93.2,104.6,104.7,95.6,76.39,75.1,43.75,29.72,39.9,46.9
Punjab,109.8,109.7,104.8,100.1,103.6,101.0,101.9,100.6,79.3,72.72,74.1,64.95,65.02,60.8,63.4
Rajasthan,101.9,99.0,96.8,97.7,96.6,92.5,95.2,98.7,99.2,69.74,70.25,48.35,33.6,33.3,28.9
Sikkim,91.2,91.7,92.6,106.9,118.0,121.9,126.0,123.4,117.3,98.09,113.57,76.59,,,
Tamil Nadu,99.2,98.2,98.0,93.1,100.9,112.5,112.2,114.1,114.0,95.32,94.53,85.15,85.3,85.6,91.0
Telangana,110.1,106.4,102.3,94.4,98.0,,,,,,,,,,
Tripura,111.2,109.0,106.5,113.3,115.3,110.8,114.7,121.7,117.9,82.87,84.57,60.26,,,
Uttar Pradesh,99.9,97.3,93.7,85.7,91.8,98.0,109.6,96.3,85.8,39.42,40.9,25.8,26.41,32.6,35.4
Uttarakhand,115.4,109.7,107.2,92.2,95.3,91.5,109.8,110.3,112.9,90.11,,,,,
West Bengal,109.1,105.0,100.8,103.6,107.3,107.4,91.5,110.7,91.4,83.5,80.75,43.91,43.6,83.4,89.1
Andaman and Nicobar Islands,70.5,80.8,84.1,80.0,84.9,103.1,85.5,73.0,104.8,86.43,89.59,95.69,,,
Chandigarh,94.1,96.7,98.5,91.0,92.3,107.7,77.7,64.7,78.4,59.08,68.32,71.88,,,
D & N Haveli,92.0,94.1,96.1,80.9,83.0,102.7,104.9,102.0,125.9,90.94,87.12,48.3,,,
Daman & Diu,92.0,91.7,85.8,86.5,84.8,93.7,82.2,83.5,124.8,79.53,83.85,81.2,,,
Delhi,124.5,123.7,122.2,120.4,122.6,112.6,120.2,116.4,102.6,81.38,59.5,81.59,,,
Goa,93.0,98.1,99.4,101.0,103.1,112.3,98.0,86.1,105.9,60.39,63.03,67.36,,,
Lakshadweep,71.1,69.1,73.4,69.3,72.2,107.4,85.6,75.7,59.9,91.45,98.38,69.2,,,
Puducherry,77.7,85.4,87.4,85.4,91.1,109.0,101.2,100.4,119.2,75.14,78.64,86.06,,,
India,101.1,98.7,96.7,95.6,99.6,97.6,103.7,101.1,93.5,73.56,,49.66,48.64,52.8,55.2
