state,2021,2019,2018,2017,2015,2011,2010,2007,2006,2001,2000,1999,1998,1996,1992
Andhra Pradesh,100.1,97.5,92.9,85.0,83.3,86.9,92.0,90.2,88.1,82.47,81.87,47.65,46.03,45.6,63.7
Arunachal Pradesh,109.9,105.2,101.6,111.0,127.8,115.3,152.0,142.3,118.6,98.82,100.35,69.71,,,
Assam,109.8,107.4,104.5,101.4,101.6,75.7,84.0,83.5,85.9,99.54,99.54,72.99,61.12,71.8,77.7
Bihar,96.2,88.1,87.6,97.5,107.7,87.8,102.9,93.7,74.1,59.69,61.35,32.36,33.55,35.5,34.7
Chhattisgarh,95.9,95.5,96.3,97.9,100.9,104.6,109.4,108.6,109.9,97.89,,,,,
Gujarat,92.4,93.8,94.4,94.6,96.7,98.1,107.2,107.6,103.1,102.25,103.26,64.89,65.39,67.2,69.6
Haryana,103.2,102.8,101.7,97.5,91.8,85.8,90.5,85.8,85.2,72.53,73.13,62.0,64.37,60.7,70.9
Himachal Pradesh,106.0,104.6,103.6,99.5,100.9,102.1,111.0,109.9,111.1,91.02,91.4,85.15,,,
Jammu & Kashmir,90.1,81.9,77.9,74.1,80.1,85.6,104.2,104.5,87.8,84.41,83.01,64.6,,,
Jharkhand,97.0,95.1,96.4,101.8,107.1,103.1,121.0,119.8,89.4,68.63,,,,,
Karnataka,107.1,105.0,104.5,100.5,99.4,98.2,99.3,98.8,99.9,97.53,98.41,65.67,66.08,61.1,65.0
Kerala,101.0,99.1,97.8,94.6,95.4,90.9,96.2,97.9,95.5,90.16,91.03,95.61,95.22,93.9,107.0
Ladakh,74.3,77.1,,,,,,,,,,,,,
Madhya Pradesh,88.7,92.4,92.1,89.1,94.3,113.7,122.6,131.8,130.1,91.55,91.8,62.56,62.25,61.7,66.9
Maharashtra,104.3,103.5,102.5,97.7,98.3,98.3,100.0,98.2,109.0,101.5,101.05,88.8,86.4,81.6,80.7
Manipur,117.6,116.1,112.1,127.5,130.6,114.9,155.0,151.6,140.0,91.65,89.6,75.48,,,
Meghalaya,155.7,143.5,135.0,146.4,139.4,114.0,153.6,138.5,152.8,94.26,95.47,59.83,,,
Mizoram,137.5,124.4,120.5,122.4,126.6,110.9,150.7,138.3,130.2,105.21,96.28,77.47,,,
Nagaland,87.3,84.4,82.1,89.1,100.4,79.7,85.4,83.3,79.1,89.72,92.07,59.85,,,
Odisha,95.4,94.0,93.9,95.9,100.2,94.2,104.8,105.2,98.9,92.03,90.54,55.34,38.4,54.9,57.0
Punjab,109.6,109.3,104.6,95.7,100.4,101.2,103.1,101.8,76.4,72.55,73.75,64.73,66.22,62.9,67.8
Rajasthan,101.8,99.7,98.1,97.4,97.2,94.3,99.3,104.6,106.4,98.48,99.06,78.88,57.56,56.2,53.9
Sikkim,92.9,93.6,93.8,107.8,118.8,118.6,123.8,121.1,114.4,97.72,113.26,73.69,,,
Tamil Nadu,98.8,98.0,98.3,92.5,99.9,111.7,112.0,114.2,114.4,95.73,95.01,86.89,87.28,91.2,101.4
Telangana,110.2,106.3,102.4,94.4,97.8,,,,,,,,,,
Tripura,109.1,107.3,105.4,112.0,114.3,110.5,115.4,122.7,119.9,89.93,91.74,65.13,,,
Uttar Pradesh,98.1,95.1,91.6,80.6,86.2,97.8,109.5,95.4,90.9,54.1,54.91,38.09,38.57,49.0,55.0
Uttarakhand,113.2,108.5,106.4,92.1,94.6,90.0,107.8,108.0,110.6,90.16,,,,,
West Bengal,108.5,103.6,99.3,100.7,104.2,104.4,90.1,108.9,90.5,87.88,86.0,50.63,50.5,87.1,93.8
Andaman and Nicobar Islands,69.2,79.0,81.5,82.6,87.1,103.7,86.9,74.3,104.9,86.92,88.99,93.27,,,
Chandigarh,88.5,91.6,93.9,85.0,86.7,106.6,79.3,63.6,83.1,58.67,67.23,69.79,,,
D & N Haveli,89.8,92.5,92.8,84.0,85.6,104.1,103.9,103.7,132.0,109.85,105.29,62.79,,,
Daman & Diu,89.8,89.8,89.3,81.1,81.0,95.3,78.2,77.1,129.7,90.98,93.03,86.9,,,
Delhi,121.3,121.3,120.2,113.7,116.6,111.1,120.1,116.3,101.1,83.94,58.44,71.71,,,
Goa,91.1,96.4,97.9,98.5,101.1,114.7,101.0,87.5,108.3,65.55,67.99,72.2,,,
Lakshadweep,73.2,71.1,73.5,73.4,77.5,107.7,81.9,74.8,59.6,99.07,106.4,74.07,,,
Puducherry,77.0,84.7,85.9,80.3,85.6,109.8,103.4,97.9,127.1,81.76,84.06,91.43,,,
India,100.1,97.8,96.1,93.0,96.9,97.4,104.3,102.5,97.1,82.35,,58.79,56.8,62.3,67.7
