state,1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019
Andhra Pradesh,61.2,61.4,60.9,61.1,61.0,61.3,61.7,62.3,62.8,62.9,63.2,63.5,63.4,63.5,64.0,64.7,65.5,66.3,67.1,68,68.3,68.7,68.9
Assam,56.6,56.9,57.1,57.3,57.2,57.4,58.2,58.2,58.4,59.2,60.1,60.0,60.5,61.0,61.2,61.2,61.9,62.7,63.5,64.4,65.4,66.1,66.8
Bihar,60.4,60.5,60.1,61.1,62.0,63.4,64.6,64.3,64.2,64.6,64.4,64.2,64.9,65.5,65.9,66.7,67.3,67.8,68.5,68.9,69.2,69.4,69.6
Chhattisgarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63.3,63.6,63.6,63.8,63.7,63.7
Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72.0,72.5,72.7,73.3,73.8,74.3
Gujarat,60.9,61.4,62.7,63.0,63.1,63.0,63.0,63.7,63.7,63.8,64.0,64.3,64.4,64.9,65.2,65.5,66.0,66.6,66.9,67.4,67.6,67.8,67.9
Haryana,63.7,63.9,63.9,64.1,64.1,64.4,64.4,64.6,65.0,65.4,65.2,65.3,65.1,67.0,65.0,65.4,65.8,66.3,66.9,67.2,67.6,67.7,67.7
Himachal Pradesh,64.6,64.8,64.8,65.7,66.3,66.6,67.1,67.3,67.4,67.4,67.8,67.7,67.7,67.7,67.9,68.3,69.0,69.3,69.1,69.4,69.8,69.6,69.9
Jammu & Kashmir,-,-,-,-,-,64.7,64.4,65.9,67.1,69.2,68.6,69.0,68.9,69.2,69.4,69.9,70.6,70.9,71.2,71.6,72.1,72.2,72.6
Jharkhand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66.2,67.0,67.8,68.8,69.9,70.2
Karnataka,61.6,62.0,62.7,62.6,62.4,62.6,63.0,63.3,63.9,64.4,64.4,64.4,64.6,64.9,65.2,65.8,66.4,66.9,67.2,67.6,67.7,67.9,67.9
Kerala,70.4,70.5,68.8,68.7,68.8,69.0,69.7,70.3,70.5,70.9,71.1,71.2,71.3,71.5,71.5,71.6,71.8,72.0,72.2,72.2,72.5,72.5,72.3
Madhya Pradesh,55.6,56.0,56.1,56.6,56.9,57.5,58.1,58.6,58.9,59.4,59.7,60.3,60.8,61.1,61.3,61.9,62.3,62.5,63.2,63.7,64.2,64.8,65.2
Maharashtra,64.1,64.3,63.8,64.2,64.3,64.5,65.0,65.8,66.3,66.8,67.4,67.6,67.6,67.9,68.3,68.8,69.4,69.9,70.3,70.8,71.2,71.3,71.6
Odisha,57.1,57.4,57.4,57.8,58.1,58.4,58.7,59.3,59.6,60.0,60.7,62.1,61.7,62.2,62.9,63.4,63.8,64.7,65.6,66.2,67.1,68.0,68.5
Punjab,66.7,66.8,65.2,65.5,65.9,66.0,66.3,67.2,67.5,67.5,67.6,67.5,67.2,67.4,67.7,68.1,69.1,69.7,70.3,71,71.0,71.0,71.1
Rajasthan,59.1,59.4,60.4,61.0,61.4,61.9,62.3,62.6,63.0,63.3,63.5,64.3,64.7,64.7,65.0,65.2,65.4,65.5,65.7,66.1,66.3,66.5,66.8
Tamil Nadu,63.2,63.5,63.1,63.5,63.8,64.2,64.8,65.3,65.7,65.9,66.2,66.6,66.9,67.1,67.6,67.9,68.2,68.6,69.1,69.5,69.9,70.2,70.6
Telangana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68.6,68.6
Uttar Pradesh,58.1,58.5,59.5,59.6,59.6,59.9,60.0,60.4,60.6,61.0,61.0,61.4,61.6,61.8,61.9,62.3,62.5,62.9,63.4,63.9,64.3,64.8,65.0
Uttarakhand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69.1,68.9,68.5,68.8,67.9,67.6
West Bengal,62.2,62.5,62.5,63.0,63.5,64.3,64.8,65.3,65.7,66.1,66.4,66.7,66.9,67.4,67.8,68.1,68.5,68.9,69.4,69.8,70.4,70.7,71.0
ALL INDIA,60.4,61.9,60.9,61.2,61.4,61.9,62.3,62.8,63.1,63.5,63.7,64.0,64.3,64.6,64.9,65.4,65.8,66.4,66.9,67.4,67.8,68.2,68.4
